gene1,gene2
ENSG00000034713,ENSG00000164047
ENSG00000034713,ENSG00000136854
ENSG00000034713,ENSG00000179163
ENSG00000035115,ENSG00000213218
ENSG00000035403,ENSG00000114268
ENSG00000035403,ENSG00000213218
ENSG00000035403,ENSG00000163029
ENSG00000035664,ENSG00000175324
ENSG00000035681,ENSG00000167419
ENSG00000035862,ENSG00000100060
ENSG00000035928,ENSG00000108771
ENSG00000036257,ENSG00000188779
ENSG00000036257,ENSG00000103310
ENSG00000036257,ENSG00000198909
ENSG00000036257,ENSG00000137767
ENSG00000036257,ENSG00000160188
ENSG00000036257,ENSG00000166484
ENSG00000036257,ENSG00000169967
ENSG00000036257,ENSG00000032742
ENSG00000036257,ENSG00000234602
